a	A		sumti or		logical connective: sumti afterthought or
naja	JA*		tanru only if		logical connective: tanru-internal afterthought conditional/only if
nakni		nak	male	'masculine'	x1 is a male/buck of species x2 evidencing masculine trait(s) x3 (ka); x1 is masculine	(cf. fetsi, bersa)
nalci		na'i	wing		x1 is a/the wing [body-part] of x2; [metaphor: lateral supporting surface]	(cf. cipni, pimlu, rebla)
namcu		nac na'u	number		x1 (li) is a number/quantifier/digit/value/figure (noun); refers to the value and not the symbol	(cf. lerfu, mekso, klani)
nanba		nab	bread		x1 is a quantity of/contains bread [leavened or unleavened] made from grains x2	(cf. gurni, panlo, toknu)
nanca		na'a	year		x1 is x2 years in duration (default is 1 year) by standard x3; (adjective:) x1 is annual	[this year (= cabna'a); next year (= bavlamna'a); last year (= prulamna'a)]; (cf. detri, djedi, jeftu, masti)
nandu		nad	difficult	'hard'	x1 is difficult/hard/challenging for x2 under conditions x3; x1 challenges (non-agentive) x2	(cf. frili, nabmi, jdari, talsa, tinsa)
nanla			boy	'lad'	x1 is a boy/lad [young male person] of age x2 immature by standard x3	[word dispreferred in metaphor/example as sexist; (use verba)]; (cf. nixli, verba, nanmu, bersa)
nanmu		nau	man		x1 is a man/men; x1 is a male humanoid person [not necessarily adult]	[word dispreferred in metaphor/example as sexist; (use remna or prenu)]; (cf. ninmu, remna, prenu, makcu, nanla, bersa)
nanvi		nav	1E-9	metric 'nano'	x1 is a billionth/thousand-millionth [1x10**-9] of x2 in dimension/aspect x3 (default is units)	(cf. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, milti, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
narge		nag	nut		x1 is a nut [body-part: hard-shelled fruit] from plant/species x2 with shell x3 and kernel x4	[also x4 nucleus, center (= velnarge for place reordering)]; (cf. grute, stagi, jbari, midju)
narju		naj	orange		x1 is orange [color adjective]	(cf. skari, blabi, xekri, kandi, carmi, xunre, pelxu, solji)
natfe		naf na'e	deny		x1 (du'u) contradicts/denies/refutes/negates x2 (du'u) under rules/logic x3	[also exception (= nafmupli); agentive contradict/deny (= nafxu'a or tolxu'a)]; (cf. nibli, tugni, zanru, xusra)
natmi		nat nai	nation		x1 is a nation/ethnic group of peoples x2; [people sharing a history/culture]	(cf. jecta, kulnu, lanzu, gugde, bangu, cecmu)
nau	CUhE		reference point		tense: refers to current space/time reference absolutely
navni			neon		x1 is a quantity of/contains/is made of inert gas of type x2 [neon/argon/radon/xenon]	[default neon] (cf. xukmi, gapci)
naxle		nax xle	canal		x1 is a canal/channel to x2 from x3 with route x4	[x2/x3 may be unordered]; (cf. pluta, rirxe, klaji, dargu)
nazbi		naz zbi	nose	'nasal'	x1 is the nose [body-part] of x2 with nostril(s)/nasal passage(s) x3; [metaphor: protrusion]	[also (adjective:) nasal]; (cf. degji, panci, sumne, tance)
ne	GOI		incidental phrase		non-restrictive relative phrase marker: which incidentally is associated with ...
ne'a	FAhA3		next to		location tense relation/direction; approximating/next to ...
ne'i	FAhA3		within		location tense relation/direction; within/inside of/into ...
ne'o	VUhU3		factorial		unary mathematical operator: factorial; a!
ne'u	FAhA1		south of		location tense relation/direction; south of
nei	GOhA		current bridi		pro-bridi: repeats the current bridi
nejni		nen	energy		x1 is energy of type x2 in form x3	[ray/beam (= nenli'i)]; (cf. marji, tarmi, kantu, lazni, livla)
nelci		nel nei	fond	'likes'	x1 is fond of/likes/has a taste for x2 (object/state)	(cf. cinmo, djica, pluka, prami, rigni, sinma, trina, xebni, cuxna, pendo)
nenri		ner ne'i	in	'inner'	x1 is in/inside/within x2; x1 is on the inside/interior of x2 [totally within the bounds of x2]	[indicates total containment]; (cf. se vasru (for containment that need not be total), jbini, zvati, cpana, sruri, senta, snuji, bartu, diklo, jibni, jinru, setca)
ni	NU	nil	amount abstract		abstractor: quantity/amount abstractor; x1 is quantity/amount of [bridi] measured on scale x2	(cf. klani)
ni'a	FAhA2		below		location tense relation/direction; downwards/down from ...
ni'e	NIhE		selbri to operand		convert selbri to mex operand; used to create new non-numerical quantifiers; e.g. "herd" of oxen
ni'i	BAI		because of logic		nibli modal, 1st place                            logically; logically because ...
ni'i ma	BAI*		by what logic?		sumti question asking for a logical proof; why?
ni'inai	BAI*		despite logic		nibli modal, 1st place                            despite logic ...
ni'o	NIhO		new topic		discursive: paragraph break; introduce new topic
ni'u	PA3		negative number		digit/number: minus sign; negative number); default any negative
nibli		nib ni'i	necessitate		x1 logically necessitates/entails/implies action/event/state x2 under rules/logic system x3	(cf. natfe, rinka, mukti, krinu, cmavo list ni'i, jalge, logji)
nicte		cte	night		x1 is a nighttime of day x2 at location x3; (adjective:) x1 is at night/nocturnal	[tonight (= cabycte); tomorrow night (= bavlamcte, even when tonight is still in the future); last night (= prulamcte)]; (cf. donri, djedi, tcika)
nikle		nik	nickel		x1 is made of/contains/is a quantity of nickel/other metal resistant to oxidation	(cf. jinme)
nilce		ni'e	furniture		x1 [furniture items] furnishes x2 [location] serving purpose/function x3	(cf. ckana, jubme, sfofa, stizu, dacru)
nimre			citrus	'lime'	x1 is a quantity of citrus [fruit/tree, etc.] of species/strain x2	(cf. grute, slari, slami, xukmi)
ninmu		nim ni'u	woman	'women'	x1 is a woman/women; x1 is a female humanoid person [not necessarily adult]	[word dispreferred in metaphor/example as sexist; (use remna or prenu)]; (cf. nanmu, remna, prenu, makcu, nixli)
nirna		nir	nerve		x1 is a nerve/neuron [body-part] of x2; [metaphor: information/control network connection]	[also (adjective:) x1 is neural]; (cf. ve benji)
nitcu		tcu	need		x1 needs/requires/is dependent on/[wants] necessity x2 for purpose/action/stage of process x3	[no implication of lack]; (cf. banzu, cidja, claxu, pindi, xebni, sarcu, lacri, djica, taske, xagji)
nivji		niv	knit		x1 (agent) knits x2 [cloth/object] from yarn/thread x3	(cf. cilta, fenso, jivbu, pijne)
nixli		nix xli	girl		x1 is a girl [young female person] of age x2 immature by standard x3	[word dispreferred in metaphor/example as sexist; (use verba)]; (cf. nanla, verba, ninmu)
no	PA1	non	0		digit/number: 0 (digit) [zero]	[nothing (= nomei, but also nozu'i)]
no'a	GOhA		next outer bridi		pro-bridi: repeats the bridi in which this one is embedded
no'e	NAhE	nor no'e	scalar midpoint not		midpoint scalar negator: neutral point between je'a and to'e; "not really"	(cf. nutli, midju, milxe, cmavo list na'e, to'e)
no'i	NIhO		old topic		discursive: paragraph break; resume previous topic
no'o	PA5		typical value		digit/number: typical/average value
no'u	GOI		incidental identity		non-restrictive appositive phrase marker: which incidentally is the same thing as ...
nobli		nol no'i	noble		x1 is noble/aristocratic/elite/high-born/titled in/under culture/society/standard x2	[also upper-class; high/low, upper/lower are poor Lojban metaphors; note x2 standard applies when the title/nobility is not recognized culture/society wide; this would include self-assumed titles]; (cf. banli)
noda	KOhA*		nothing at all		logically quantified sumti: nothing at all (unless restricted)
noi	NOI		incidental clause		non-restrictive relative clause; attaches subordinate bridi with incidental information
nomo'o	MAI*		section 0		discursive utterance ordinal: zeroth section/chapter ordinal; foreword
noroi	ROI*		never		tense interval modifier: never; objectively quantified tense; defaults as time tense
notci		not noi	message	'note'	x1 is a message/notice/memorandum about subject x2 from author x3 to intended audience x4	[emphasis on brevity, single or identifiable subject (contrast with xatra: the emphasis in notci is on the single or cohesively focused subject, while the audience is less defined - indeed only an 'intended' audience.  xatra need not have a single or focussed subject - its corresponding place is for 'content'); reminder/memo/note (= mojnoi)]; (cf. xatra, nuzba, mrilu, morji)
nu	NU	nun	event abstract		abstractor: generalized event abstractor; x1 is state/process/achievement/activity of [bridi]	(cf. fasnu)
nu'a	NUhA		operator to selbri		convert mathematical expression (mex) operator to a selbri/tanru component
nu'e	COI		promise		vocative: promise - promise release - un-promise
nu'ecu'i	COI*		release from promise		vocative: promise - promise release - un-promise
nu'enai	COI*		non-promise		vocative: promise - promise release - un-promise
nu'i	NUhI		start fore termset		start forethought termset construct; marks start of place structure set with logical connection
nu'o	CAhA	nu'o	can but has not		modal aspect: can but has not; unrealized potential	(cf. kakne)
nu'u	NUhU		end fore termset		elidable terminator: end forethought termset; usually elidable except with following sumti
nukni		nuk	magenta	'fuchsin'	x1 is magenta/fuchsia/purplish-red [color adjective]	(cf. skari, blabi, xekri, kandi, carmi, xunre, zirpu)
nupre		nup nu'e	promise		x1 (agent) promises/commits/assures/threatens x2 (event/state) to x3 [beneficiary/victim]	(cf. kajde, xusra)
nurma		num	rural		x1 is a rural/rustic/pastoral area of x2; x1 is in the country	(cf. jarbu, rarna, tcadu, cange)
nutli		nul nu'i	neutral		x1 is neutral/not taking sides/medial/not towards any extreme on scale/in dissension x2	[also x2 dispute/struggle (though x2 is not limited to disagreements, which is merely one manifestation of scalar or distributed values in which there is a medial position)]; (cf. midju, lanxe, milxe, mutce, cmavo list no'e)
nuzba		nuz	news		x1 (du'u) is news/tidings/new information about subject x2 from source x3, to observer x4	(cf. cnino, notci)
ny	BY2		n		letteral for n
o	A		sumti iff		logical connective: sumti afterthought biconditional/iff/if-and-only-if
o'a	UI1		pride		attitudinal: pride - modesty/humility - shame	(cf. jgira, cumla, ckeji)
o'acu'i	UI*1		modesty		attitudinal: pride - modesty/humility - shame
o'anai	UI*1		shame		attitudinal: pride - modesty/humility - shame
o'e	UI1		closeness		attitudinal: closeness - distance	(cf. cnijbi, cnikansa)
o'enai	UI*1		distance		attitudinal: closeness - distance
o'i	UI1		caution		attitudinal: caution - rashness	(cf. capyrivbi, capfanta, srerivbi, srefanta, naldarsi, seljde)
o'inai	UI*1		rashness		attitudinal: caution - rashness
o'o	UI1		patience		attitudinal: patience - mere tolerance - anger	(cf. fengu, to'ersteba, de'acni
o'ocu'i	UI*1		mere tolerance		attitudinal: patience - mere tolerance - anger
o'onai	UI*1		anger		attitudinal: patience - mere tolerance - anger
o'u	UI1		relaxation		attitudinal: relaxation - composure - stress	(cf. surla, cnilanxe, dunku)
o'ucu'i	UI*1		composure		attitudinal: relaxation - composure - stress
o'unai	UI*1		stress		attitudinal: relaxation - composure - stress
obu	BY*		o		letteral for o
oi	UI1		complaint		attitudinal: complaint - pleasure	(cf. pante, pluka, kufra)
oinai	UI*1		pleasure		attitudinal: complaint - pleasure
oire'e	UI*1		spiritual complaint		attitudinal: spiritual/religious complaint
oiro'a	UI*1		embarrassment		attitudinal: social complaint
oiro'e	UI*1		puzzlement		attitudinal: mental complaint (puzzlement, excess mental work)
oiro'i	UI*1		anxiety		attitudinal: emotional complaint
oiro'o	UI*1		physical pain		attitudinal: physical complaint
oiro'u	UI*1		sexual complaint		attitudinal: sexual complaint
onai	A*		sumti xor		logical connective: sumti afterthought exclusive or; Latin 'aut'
pa	PA1	pav	1		digit/number: 1 (digit) [one]
pa'a	BAI		in addition to		panra modal, 1st place (parallel; shared property) similarly; in addition to ...
pa'aku	BAI*		each respectively		sumti: explicitly marks respective use as in "THEY read THEIR (respective) books"
pa'e	UI3		justice		discursive: justice - prejudice	(cf. tcinydracu'a, tcinydrapai, vudypai)
pa'enai	UI*3		prejudice		discursive: justice - prejudice
pa'i	VUhU2		ratio		binary mathematical operator: ratio; [the ratio of a to b]
pa'o	FAhA3		transfixing		location tense relation/direction; transfixing/passing through ...
pa'u	BAI		having component		pagbu modal, 1st place                            having component ...
pacna		pa'a	hope		x1 hopes/wishes for/desires x2 (event), expected likelihood x3 (0-1); x1 hopes that x2 happens	[also: x1 is hopeful of x2; x2 will hopefully occur, as hoped for by x1; the value of x3 is a subjective estimate of likeliness according to x1, and is the basic determinant of whether pacna means 'hope' or 'wish' or 'expect': hoping for objects/states with negligible expectation is "wishing"; if the state is plausibly likely, it is "hoping"; when the probability is subjectively near 1, the attitude is described as "expecting"; the value will usually be expressed using inexact numbers ("li piso'u" to "li piro"); wish (= sotpa'a), hope (= sorpa'a), expect (= sojypa'a)]; (cf. djica)
pagbu		pag pau	part		x1 is a part/component/piece/portion/segment of x2 [where x2 is a whole/mass]; x2 is partly x1	[partly (= selpau)]; (cf. cmavo list pa'u, mulno, xadba, spisa, gunma, rafsi)
pagre		gre	pass through		x1 passes through/penetrates barrier/medium/portal x2 to destination side x3 from origin side x4	[passing through in both directions (= rolfargre, pagre ... .i so'ivo'ivo'u (and vice versa))]; (cf. bitmu, denci, ganlo, kalri, vorme, pluta, canko, ragve)
pai	PA5		pi		digit/number: pi (approximately 3.1416...)
pajni		pai	judge		x1 judges/referees/arbitrates/is a judge determining/deciding matter x2 (abstract)	[x2 includes jei = rule (jetpai), ni = estimate (lairpai), ka = evaluate (kairpai or vampai), or nu = referee/arbitrate (faurpai); single events of judging including specific decisions/judgements (= paijdi, jetpaijdi, lairpaijdi, kairpaijdi, vampaijdi, faurpaijdi); jury (= pairkamni), serve on a jury (= kamnypai, as part of mass x1)]; (cf. cuxna, jdice, vajni, cipra, zekri, manri, mansa)
palci		pac	evil		x1 is evil/depraved/wicked [morally bad] by standard x2	(cf. zekri, vrude, xlali, marde, mabla)
palku		pak	pants		x1 are pants/trousers/slacks/leggings [legged garment] of material x2	(cf. taxfu, pastu, skaci)
palne			tray	'pan, platter'	x1 is a tray/platter/flat container [pan/sheet/griddle] of contents x2, and made of material x3	[also pallet, when used for carrying rather than support on the ground; a tray is flat-bottomed and shallow or without a rim, and is generally portable]; (cf. tansi, patxu, palta, ckana)
